id;español                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;english
index_details;Detalles;Details
index_l1;<b>Modalidad</b>: Presencial;<b>Modality</b>: On-site
index_l2;<b>Fecha</b>: 6, 7 y 8 de Noviembre del 2024;<b>Date</b>: November 6th, 7th and 8th, 2024
index_l3;<b>Lugar</b>: Ruta N<br><small>Medellín, Colombia</small>;<b>Place</b>: Ruta N<br><small>Medellín, Colombia</small>
index_l4;<b>Organiza</b>: Ingeniería Aeroespacial, Universidad de Antioquia.;<b>Hosted by</b>: Aerospace Engineering, Universidad de Antioquia.
index_about;Sobre CICTA X;About CICTA X
index_p1;La ciudad de Medellín ha emergido como un centro industrial líder a lo largo de su historia, mostrando la resiliencia de su gente a través de tiempos difíciles. Forjada por su pasado pero orgullosa de su coraje, Medellín será la ciudad huésped para este evento, imprimiendo el espíritu pujante de una región que ahora apunta a nuevas alturas.;The city of Medellin has emerged as a leading industrial center throughout its history, showing the resilience of its people through difficult times. Forged by its past but proud of its courage, Medellin will be the host city for this event, imprinting the thriving spirit of a region that is now aiming for new heights.
index_p2;El evento cubrirá el trabajo de la red de ciencia y desarrollo de tecnología aeroespacial dentro de la región y más allá, enfocándose en el progreso hacia el enlace con la industria aeroespacial internacional, buscando por sinergias presentes y futuras alrededor del mundo.;The event will cover the work of the aerospace science and technology development network within the region and beyond, focusing on progress towards liaison with the international aerospace industry, looking for present and future synergies around the world.
index_h1;¿Por qué?;Why?
